country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Senegal,,,,,0.0117,0.0226,0.0709,0.163,0.254,0.326,0.395,0.476,0.62,0.711,0.713,0.774,0.729,0.69,0.656,0.725,0.819,0.933
Singapore,0.259,0.759,1.71,3.7,6.58,10.1,13.1,15.4,17.9,20.2,22.4,24.8,26.1,26.8,26.7,27.4,26.7,26.6,28.2,25.9,25.9,25.9
Solomon Islands,,,,,,,0.0436,0.0958,0.135,0.203,0.298,0.388,0.478,0.449,0.383,0.33,0.227,0.235,0.265,0.183,0.228,0.156
El Salvador,,,,,,0.327,0.487,0.699,1.01,1.47,2.01,2.43,2.83,3.32,3.88,4.54,5.07,5.58,6.22,7.06,7.67,
San Marino,,,,,,2.1,3.72,4.16,4.98,5.32,16.1,17.7,19.2,20.7,30.8,31.4,35.5,35,35.8,31.2,32.1,32.7
Somalia,,,,,,,,,,,,,,,0.315,0.459,0.521,0.594,0.649,0.672,,
Serbia,,,,,,,,0.364,1.33,3.58,5.05,6.55,9.56,10.8,11.9,13.2,13.4,14.9,16.4,16.8,17.6,18.5
South Sudan,,,,,,,,,,,,,,,0.00017,0.00097,0.00095,0.0014,0.00138,0.00183,0.00182,0.00181
Sao Tome and Principe,,,,,,,,,0.0773,0.185,0.201,0.252,0.324,0.399,0.413,0.509,0.562,0.659,0.701,0.714,0.738,0.764
Suriname,,,,,0.0195,0.0443,0.0851,0.222,0.526,0.823,1.11,1.73,2.86,4.33,5.41,6.78,8.39,9.42,12.6,12.5,12.7,13.8
Slovak Republic,,,,,0.0756,0.416,1.46,3.36,5.64,10.1,11.2,14.3,16.2,17.6,19.3,20.5,21.9,23.4,24.6,25.8,27.7,29
Slovenia,,,,0.277,2.85,2.92,5.78,9.86,14,17.1,21,22.1,23,24.1,24.8,25.4,26.9,27.5,28.4,29,29.5,30.2
